OID_b,FID,COUNT_b,AREA_b,MEAN_b
644,643,105663,105663,0
645,644,126787,126787,0
646,645,159912,159912,0.022033167
647,646,159914,159914,0.099163829
648,647,159896,159896,0.02905396
649,648,159886,159886,0
650,649,159890,159890,0.002826326
651,650,159892,159892,0
652,651,159897,159897,0
653,652,159912,159912,0
654,653,159910,159910,0
655,654,159889,159889,0.033597306
656,655,159901,159901,0.000373776
657,656,159888,159888,0.035364006
658,657,159865,159865,0.551633114
659,658,159911,159911,0.163361136
660,659,159910,159910,0.168828213
661,660,159888,159888,0.176867666
662,661,159910,159910,0.250326494
663,662,159907,159907,0.175797222
664,663,159863,159863,0.213279182
665,664,159887,159887,0.194336756
666,665,159905,159905,0.173893986
667,666,159887,159887,0.264887984
668,667,159909,159909,0.590818644
669,668,159909,159909,0.161438543
670,669,159895,159895,0.044605481
671,670,159879,159879,0.048006844
672,671,159885,159885,0.083144648
673,672,159893,159893,0.351014035
674,673,159891,159891,0.108923773
675,674,159908,159908,0.091464497
676,675,159908,159908,0.022251935
677,676,159885,159885,0.190870895
678,677,159891,159891,0.092073975
679,678,159884,159884,0.160119346
680,679,159871,159871,0.005546149
681,680,159908,159908,0
682,681,159908,159908,0.005067145
683,682,159884,159884,0.022688519
684,683,159908,159908,0.01691017
685,684,159893,159893,0
686,685,159859,159859,0
687,686,159891,159891,0
688,687,159908,159908,0
689,688,159895,159895,0
690,689,104765,104765,0
691,690,127708,127708,0
692,691,159903,159903,0.012400055
693,692,159912,159912,0.004975413
694,693,159891,159891,0.00199222
695,694,159912,159912,0
696,695,159912,159912,0.001512147
697,696,159878,159878,0
698,697,159889,159889,0
699,698,159891,159891,0
700,699,159889,159889,0
701,700,159911,159911,0
702,701,159912,159912,0
703,702,159895,159895,0.155899137
704,703,159902,159902,0.506223378
705,704,159889,159889,0.172732338
706,705,159877,159877,0.191016344
707,706,159891,159891,0.17779295
708,707,159911,159911,0.430375266
709,708,159910,159910,0.197320645
710,709,159887,159887,0.175644344
711,710,159910,159910,0.156535235
712,711,159891,159891,0.122566133
713,712,159862,159862,0.210069015
714,713,159899,159899,0.179054885
715,714,159910,159910,0.350989584
716,715,159886,159886,0.011006388
717,716,159908,159908,0.012170343
718,717,159909,159909,0.066669521
719,718,159871,159871,0.383705446
720,719,159885,159885,0.125782973
721,720,159893,159893,0.187409802
722,721,159888,159888,0.231762856
723,722,159906,159906,0.272408799
724,723,159908,159908,0.059242445
725,724,159896,159896,0.044276521
726,725,159884,159884,0.000194108
727,726,159884,159884,0.001547243
728,727,159886,159886,0.002349059
729,728,159886,159886,0.007407562
730,729,159906,159906,0.00499887
731,730,159908,159908,0
732,731,159884,159884,0
733,732,159898,159898,0
734,733,159881,159881,0
735,734,159863,159863,0
736,735,103869,103869,0
737,736,128662,128662,0
738,737,159901,159901,0.015903749
739,738,159882,159882,0.001538909
740,739,159876,159876,0.011334004
741,740,159912,159912,0
742,741,159913,159913,0
743,742,159889,159889,0
744,743,159912,159912,0.007495415
745,744,159910,159910,0
746,745,159864,159864,0
747,746,159889,159889,0.230378624
748,747,159905,159905,0.224067367
749,748,159888,159888,0.019439147
750,749,159911,159911,0.177768093
751,750,159910,159910,0.305679753
752,751,159888,159888,0.196385554
753,752,159894,159894,0.160263192
754,753,159886,159886,0.247885345
755,754,159874,159874,0.09087695
756,755,159910,159910,0.111062634
757,756,159910,159910,0.123427339
758,757,159893,159893,0.094617357
759,758,159903,159903,0.193847949
760,759,159897,159897,0.480485303
